Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Oil_Price
4/12/2018,161.25,162.770004,161.160004,162.210007,157.933334,30467900,0,67.07
4/13/2018,163.020004,163.259995,160.669998,161.369995,157.115494,44604900,2.73,67.35
4/16/2018,162.5,163.190002,161.479996,162.600006,158.313065,28180800,2.79,66.23
4/17/2018,164.240005,166.460007,163.910004,166.100006,161.720795,35536100,2.79,66.5
4/18/2018,166.100006,167,165.309998,166.440002,162.051804,29573900,2.83,68.44
4/19/2018,165.600006,165.990005,164.339996,164.910004,160.562149,34705700,2.77,68.3
4/20/2018,164.490005,164.610001,161.729996,162.300003,158.020966,49197100,2.78,68.26
4/23/2018,163.089996,163.729996,161.020004,161.889999,157.621735,33040600,2.8,67.61
4/24/2018,162.660004,162.910004,157.389999,158.460007,154.282242,70256800,2.79,67.66
4/25/2018,158.740005,159.309998,156.470001,158.649994,154.467178,52089300,2.83,68
4/26/2018,160.699997,162.529999,160.179993,161.990005,157.719177,43005500,2.82,68.18
4/27/2018,164.369995,164.410004,161.169998,162.089996,157.816483,51043400,2.83,68.11
4/30/2018,162.470001,163.479996,160.539993,160.940002,156.696808,35615300,2.82,68.56
5/1/2018,160.520004,162.800003,160.139999,162.779999,158.488297,36513500,2.87,67.28
5/2/2018,163.059998,163.570007,161.630005,161.820007,157.553635,38646800,2.92,67.91
5/3/2018,161,162.399994,159.220001,161.800003,157.534149,60337100,2.96,68.45
5/4/2018,161.100006,165.25,160.979996,164.869995,160.523178,41543200,2.98,69.71
5/7/2018,165.639999,166.779999,165.509995,166.240005,161.857086,32500200,3,70.74
5/8/2018,165.889999,166.429993,164.860001,166.070007,161.691589,26040200,3.03,68.83
5/9/2018,166.369995,168,165.779999,167.880005,163.453842,29122700,3,71.16
5/10/2018,168.419998,169.740005,168.289993,169.619995,165.147964,27067600,2.96,71.36
5/11/2018,169.419998,169.860001,168.720001,169.460007,164.992218,24688800,2.95,70.69
5/14/2018,169.850006,170.820007,169.470001,169.75,165.274521,21821700,2.97,71.01
5/15/2018,168.410004,168.5,166.979996,167.869995,163.444122,49361600,2.97,71.34
5/16/2018,168.089996,169.369995,168.009995,168.979996,164.524857,22941200,2.94,71.43
5/17/2018,168.389999,169.610001,167.509995,168.330002,163.891968,27480200,2.95,71.47
5/18/2018,167.679993,168.259995,167.210007,167.460007,163.044907,26217900,2.95,71.23
5/21/2018,168.759995,169.5,167.679993,168.399994,163.960114,22954600,2.97,72.26
5/22/2018,169.169998,169.449997,167.880005,168.179993,163.745941,19477700,3,72.09
5/23/2018,166.899994,169.619995,166.880005,169.600006,165.128525,26557800,2.97,71.85
5/24/2018,169.550003,169.850006,167.839996,169.550003,165.079803,27696500,2.97,70.77
5/25/2018,169.529999,170.330002,169.210007,169.720001,165.245377,27460500,3,67.92
5/29/2018,168.949997,169.919998,167.960007,168.970001,164.515106,41220500,3.08,66.8
5/30/2018,169.580002,170.479996,169.220001,170.179993,165.693192,22665800,3.09,68.24
5/31/2018,170.179993,171.199997,169.630005,170.070007,165.586105,35670900,3.11,66.98
6/1/2018,170.919998,172.839996,170.869995,172.740005,168.185715,45543300,3.06,65.81
6/4/2018,173.179993,174.339996,173.070007,174.300003,169.704575,20459600,3.06,64.76
6/5/2018,174.710007,175.130005,174.070007,174.839996,170.230331,24779300,3.06,65.51
6/6/2018,175.020004,175.889999,174.139999,175.860001,171.223465,25036600,3.01,64.75
6/7/2018,175.889999,175.929993,173.550003,174.429993,169.831177,39600300,2.98,65.96
6/8/2018,173.610001,174.880005,173.179993,174.440002,169.840912,31780300,2.93,65.77
6/11/2018,174.309998,175.339996,174.279999,174.910004,170.298508,22319700,0,66.1
6/12/2018,175.149994,176,174.960007,175.830002,171.194229,22511800,2.77,66.38
6/13/2018,176.100006,177.139999,175.429993,175.820007,171.184525,37858600,2.84,66.63
6/14/2018,176.630005,177.889999,176.5,177.600006,172.917557,35916000,2.83,66.91
6/15/2018,176.929993,177.330002,176.110001,176.979996,172.313919,49615700,2.89,65.01
6/18/2018,175.490005,176.649994,174.940002,176.5,172.214401,31633200,2.94,65.91
6/19/2018,174.270004,176.039993,173.710007,176,171.726532,38236000,2.92,65.09
6/20/2018,176.809998,177.979996,176.649994,177.25,172.946167,33038000,2.97,65.92
6/21/2018,177.699997,177.880005,175.369995,175.710007,171.443604,43469400,2.93,65.68
6/22/2018,176.300003,176.369995,174.690002,175.320007,171.063019,30073200,2.93,69.02
6/25/2018,173.729996,173.990005,169.809998,171.369995,167.208939,77799700,2.96,69.91
6/26/2018,172,173.059998,171.369995,172.070007,167.891937,39008100,2.96,75.23
6/27/2018,172.800003,173.580002,169.610001,169.729996,165.60878,52843500,2.98,77.41
6/28/2018,169.520004,171.770004,169.169998,171.190002,167.03334,46407700,2.94,73.45
6/29/2018,172.009995,172.919998,171.399994,171.649994,167.482147,36408500,2.93,74.13
7/2/2018,170.039993,172.850006,169.669998,172.800003,168.604202,31770000,2.92,73.89
7/3/2018,173.449997,173.449997,170.630005,170.800003,166.652786,25512700,2.89,74.19
7/5/2018,171.910004,173.059998,171.029999,172.919998,168.721298,31626200,2.93,73.05
7/6/2018,173.320007,175.740005,173,175.610001,171.345993,37005600,2.9,73.78
7/9/2018,176.520004,177.229996,175.820007,177.190002,172.887665,27362100,2.9,73.93
7/10/2018,177.520004,177.720001,176.710007,177.320007,173.014481,23902500,2.87,74.11
7/11/2018,175.929993,177.070007,175.800003,176.419998,172.136353,30280600,2.88,70.47
7/12/2018,177.199997,179.460007,177.080002,179.460007,175.102539,27930100,2.83,70.28
7/13/2018,179.449997,179.899994,178.949997,179.610001,175.248856,28049800,2.84,71.03
7/16/2018,179.649994,179.949997,178.880005,179.179993,174.82933,21405300,2.85,68.22
7/17/2018,177.279999,180.649994,177.279999,180.270004,175.892868,31034100,2.87,68.03
7/18/2018,180.289993,180.440002,179.380005,179.929993,175.561081,23220800,2.83,68.78
7/19/2018,179.279999,179.880005,178.820007,179.029999,174.682953,31094100,0,69.42
7/20/2018,179.570007,180.169998,178.789993,178.990005,174.643951,35897300,2.84,70.31
7/23/2018,178.460007,179.639999,177.740005,179.559998,175.200073,22184700,2.82,67.9
7/24/2018,181.410004,182.050003,179.559998,180.300003,175.92215,36900300,2.86,70.77
7/25/2018,180.380005,182.929993,180.289993,182.820007,178.380936,35026600,2.87,71.13
7/26/2018,180.339996,180.919998,179.809998,180.050003,175.678207,40873500,2.85,71.59
7/27/2018,181.190002,181.309998,176.600006,177.619995,173.307159,59456100,2.85,68.66
7/30/2018,177.630005,177.729996,174.270004,175.110001,170.858154,60193000,2.83,71.19
7/31/2018,175.800003,177.130005,174.820007,176.449997,172.165634,47285100,2.85,69.88
8/1/2018,176.860001,177.649994,176.100006,177.119995,172.819366,37101900,2.86,68.8
8/2/2018,175.869995,179.740005,175.789993,179.529999,175.170853,47178200,2.88,68.95
8/3/2018,179.869995,180.089996,179.080002,180.080002,175.707489,28934400,2.84,68.49
8/6/2018,179.960007,181.190002,179.740005,181.139999,176.741745,24808800,2.89,69.01
8/7/2018,181.649994,182.139999,181.259995,181.800003,177.385696,29895700,2.96,69.17
8/8/2018,181.550003,182.350006,181.059998,182.020004,177.600357,22680700,2.95,66.92
8/9/2018,181.910004,182.630005,181.639999,181.910004,177.493042,18852900,2.94,66.81
8/10/2018,180.679993,181.220001,179.839996,180.520004,176.136795,33818500,2.98,67.61
8/13/2018,180.850006,182.009995,180.240005,180.320007,175.94162,26089200,2.96,67.25
8/14/2018,181.009995,181.660004,180.039993,181.449997,177.044189,20913000,2.98,67.04
8/15/2018,180.009995,180.580002,178.119995,179.229996,174.878098,58528000,2.96,65.07
8/16/2018,180.610001,180.990005,179.470001,179.820007,175.453796,27711800,3,65.44
8/17/2018,179.350006,180.309998,178.270004,179.860001,175.492813,36092600,2.98,65.93
8/20/2018,180.259995,180.330002,179,179.699997,175.336685,24939000,2.95,66.5
